pl;pw;sl;sw;id
5.0;3.5;1.3;0.3;1
4.8;3.0;1.4;0.2;2
4.7;3.2;1.3;0.2;3
4.6;3.2;1.5;0.2;4
4.9;3.4;1.3;0.2;5
5.2;3.9;1.6;0.4;6
4.7;3.5;1.3;0.2;7
5.0;3.4;1.4;0.3;8
4.3;2.9;1.3;0.2;9
4.9;3.0;1.5;0.2;10
5.3;3.6;1.5;0.1;11
4.7;3.4;1.5;0.4;12
4.6;2.9;1.4;0.1;13
4.1;3.0;1.1;0.1;14
5.7;4.3;1.5;0.5;16
5.4;4.0;1.1;0.4;17
4.9;3.4;1.4;0.4;18
5.6;3.7;1.7;0.3;19
5.1;3.7;1.4;0.4;20
5.3;3.3;1.6;0.2;21
5.2;3.6;1.5;0.4;22
4.4;3.6;0.9;0.2;23
5.1;3.3;1.6;0.5;24
4.8;3.3;1.9;0.3;25
5.0;3.0;1.6;0.2;26
5.0;3.3;1.5;0.4;27
5.2;3.4;1.3;0.3;29
4.6;3.2;1.5;0.2;30
4.8;3.1;1.5;0.2;31
5.4;3.4;1.5;0.4;32
5.3;4.0;1.4;0.1;33
5.5;4.1;1.3;0.2;34
4.7;3.1;1.5;0.1;35
5.0;3.0;1.2;0.2;36
5.5;3.5;1.1;0.1;37
4.8;3.1;1.5;0.1;38
5.0;3.3;1.5;0.3;40
4.8;3.5;1.2;0.4;41
4.6;2.4;1.3;0.3;42
4.4;3.0;1.3;0.3;43
5.2;3.8;1.8;0.5;45
4.9;2.8;1.4;0.4;46
4.9;3.7;1.4;0.2;47
4.5;3.2;1.3;0.3;48
5.3;3.7;1.6;0.1;49
4.9;3.2;1.2;0.2;50
5.8;2.9;4.2;1.5;62
5.9;3.1;4.8;1.9;71
6.4;3.0;4.3;1.4;75
6.7;2.8;4.7;1.5;77
5.7;2.4;3.9;1.2;93
6.2;2.8;4.2;1.4;98
6.2;3.2;6.0;2.7;101
5.8;2.6;5.1;2.1;102
7.1;2.9;5.9;2.1;103
6.2;2.8;5.5;1.9;104
6.5;2.9;5.8;2.2;105
7.6;2.9;6.5;2.1;106
4.9;2.4;4.4;1.6;107
7.3;2.8;6.4;1.9;108
6.7;2.5;5.8;1.7;109
7.2;3.6;6.1;2.7;110
6.4;3.1;5.1;2.0;111
6.3;2.7;5.2;2.0;112
6.8;2.9;5.4;2.1;113
5.7;2.5;5.0;2.0;114
5.8;2.8;5.1;2.4;115
6.5;3.1;5.2;2.3;116
6.4;3.0;5.5;1.8;117
7.7;2.5;6.8;2.3;119
6.0;2.2;5.0;1.5;120
6.9;3.2;5.6;2.4;121
5.6;2.6;4.7;2.0;122
7.5;2.8;6.6;2.1;123
6.2;2.6;5.0;1.8;124
6.7;3.2;5.8;2.2;125
7.1;3.1;6.0;1.8;126
6.3;2.8;4.7;2.0;127
6.0;3.0;4.9;1.8;128
6.4;2.6;5.6;2.1;129
7.2;3.0;5.7;1.6;130
7.4;2.7;6.1;1.9;131
6.2;2.9;5.1;1.4;134
5.9;2.4;5.4;1.4;135
7.7;2.9;6.1;2.2;136
6.2;3.4;5.5;2.4;137
5.9;3.0;4.7;1.9;139
6.6;3.0;5.7;2.5;141
6.9;3.0;5.0;2.3;142
5.9;2.6;5.0;2.0;143
6.7;3.1;5.8;2.4;144
6.7;3.3;5.5;2.6;145
6.6;3.0;5.1;2.5;146
6.4;2.6;5.1;2.1;147
6.6;3.0;5.0;2.0;148
6.1;3.3;5.3;2.4;149
5.9;3.0;5.0;1.9;150
5.1;3.4;1.3;0.4;151
4.8;2.9;1.5;0.2;152
4.6;3.0;1.1;0.3;153
4.5;3.0;1.5;0.3;154
4.9;3.5;1.4;0.2;155
5.5;4.0;1.7;0.5;156
4.7;3.5;1.4;0.3;157
4.9;3.4;1.4;0.2;158
4.7;3.1;1.4;0.1;160
5.3;3.8;1.4;0.2;161
4.8;3.4;1.6;0.3;162
4.8;3.0;1.4;0.1;163
4.2;2.9;1.0;0.1;164
5.9;4.0;1.2;0.4;165
5.7;4.3;1.4;0.5;166
5.4;3.7;1.2;0.5;167
5.1;3.4;1.4;0.3;168
5.6;3.8;1.7;0.3;169
4.9;3.7;1.4;0.4;170
5.3;3.4;1.7;0.2;171
4.9;3.7;1.4;0.4;172
5.1;3.2;1.7;0.5;174
4.7;3.3;1.7;0.1;175
4.8;2.9;1.6;0.2;176
4.7;3.1;1.6;0.3;180
4.8;3.1;1.5;0.3;181
5.4;3.3;1.3;0.5;182
5.1;4.1;1.4;0.2;183
5.5;4.3;1.4;0.4;184
4.8;3.1;1.5;0.2;185
5.0;3.1;1.1;0.1;186
5.5;3.3;1.2;0.2;187
4.8;3.0;1.4;0.1;188
4.3;3.1;1.2;0.2;189
5.1;3.3;1.4;0.3;190
4.9;3.5;1.2;0.5;191
4.3;3.2;1.2;0.3;193
4.9;3.5;1.5;0.6;194
5.1;3.8;2.0;0.5;195
4.6;3.2;1.3;0.1;198
5.3;3.7;1.4;0.3;199
4.9;3.2;1.3;0.3;200
7.0;3.2;4.7;1.4;201
6.9;3.0;4.9;1.5;203
5.1;1.8;3.4;1.0;211
5.5;2.7;3.5;1.5;215
5.4;2.9;4.4;1.5;217
5.5;2.9;4.0;1.3;239
6.4;3.3;6.0;2.5;251
5.8;2.7;5.0;1.9;252
7.0;2.9;5.8;2.1;253
6.6;2.9;5.7;2.3;255
7.4;2.9;6.6;2.0;256
4.8;2.4;4.4;1.8;257
7.2;2.9;6.3;1.8;258
6.6;2.5;5.7;2.0;259
7.1;3.7;6.0;2.5;260
6.5;3.2;5.0;2.0;261
6.3;2.7;5.4;2.1;262
6.7;3.0;5.4;2.2;263
5.7;2.3;4.9;2.1;264
5.8;2.8;5.0;2.3;265
6.4;3.2;5.3;2.3;266
6.6;2.9;5.4;1.8;267
7.6;3.9;6.7;2.4;268
7.6;2.5;6.8;2.5;269
5.9;2.1;5.0;1.6;270
6.9;3.2;5.7;2.4;271
5.5;2.7;4.8;2.0;272
7.7;2.8;6.5;1.9;273
6.1;2.6;4.9;1.9;274
6.6;3.3;5.7;2.2;275
7.2;3.1;5.9;1.8;276
6.3;2.8;4.8;1.9;277
6.1;3.0;4.9;1.8;278
6.3;2.8;5.5;2.1;279
7.1;2.8;5.9;1.7;280
7.4;2.8;6.0;1.9;281
7.8;3.7;6.4;1.9;282
6.3;2.7;5.4;2.2;283
6.3;2.7;5.1;1.6;284
7.7;2.9;5.9;2.3;286
6.3;3.3;5.5;2.5;287
6.3;3.1;5.4;1.8;288
6.1;2.9;4.8;1.8;289
6.8;3.1;5.4;2.1;290
6.6;3.1;5.5;2.5;291
6.9;3.0;5.0;2.2;292
5.7;2.7;5.0;1.9;293
6.7;3.1;5.9;2.4;294
6.7;3.3;5.6;2.4;295
6.7;3.0;5.1;2.2;296
6.2;2.5;5.0;2.1;297
6.5;3.0;5.1;2.0;298
6.3;3.3;5.3;2.3;299
5.9;3.0;5.1;1.9;300
5.1;3.4;1.4;0.3;301
4.8;3.0;1.4;0.1;302
4.5;3.0;1.1;0.1;303
4.5;3.0;1.3;0.2;304
5.0;3.5;1.4;0.4;305
5.3;3.9;1.6;0.5;306
4.9;3.3;1.3;0.3;308
4.3;2.8;1.5;0.3;309
5.3;3.7;1.6;0.2;311
4.7;3.4;1.5;0.2;312
4.7;3.1;1.3;0.1;313
4.3;2.9;1.0;0.2;314
5.8;3.8;1.2;0.1;315
5.6;4.3;1.4;0.4;316
5.5;3.8;1.3;0.4;317
5.0;3.6;1.2;0.3;318
5.7;3.8;1.6;0.5;319
5.0;3.8;1.5;0.3;320
5.2;3.5;1.7;0.3;321
5.0;3.8;1.5;0.4;322
5.0;3.3;1.5;0.5;324
4.8;3.3;1.9;0.2;325
4.9;2.8;1.6;0.2;326
5.0;3.4;1.5;0.5;327
5.1;3.5;1.4;0.2;328
5.3;3.4;1.4;0.2;329
4.6;3.1;1.5;0.3;330
4.7;3.0;1.5;0.2;331
5.4;3.3;1.5;0.4;332
5.2;4.0;1.5;0.2;333
5.3;4.1;1.4;0.3;334
4.8;3.0;1.5;0.3;335
5.0;3.2;1.2;0.4;336
5.6;3.5;1.3;0.2;337
4.8;3.0;1.4;0.1;338
4.3;3.0;1.2;0.2;339
5.0;3.2;1.5;0.3;340
4.9;3.5;1.3;0.3;341
4.2;3.1;1.1;0.3;343
5.0;3.6;1.6;0.5;344
5.0;3.7;1.8;0.5;345
4.8;2.9;1.2;0.4;346
5.1;3.7;1.6;0.2;347
4.7;3.3;1.4;0.2;348
5.1;3.5;1.4;0.3;349
4.9;3.2;1.4;0.3;350
6.9;3.2;4.7;1.6;351
6.2;3.1;4.3;1.4;352
5.7;2.7;4.5;1.3;356
5.0;2.7;3.9;1.4;360
6.0;2.0;4.5;1.5;369
5.8;3.2;4.8;1.8;371
6.0;2.8;3.9;1.5;372
5.5;2.4;3.7;1.1;381
5.3;2.3;3.9;1.4;390
6.3;3.1;5.9;2.5;401
5.8;2.6;5.0;1.9;402
7.2;3.0;5.9;2.2;403
6.2;2.7;5.6;1.7;404
6.5;3.0;5.8;2.1;405
4.8;2.5;4.4;1.8;407
7.4;2.9;6.2;1.8;408
6.6;2.6;5.7;1.9;409
7.2;3.5;6.1;2.5;410
