examiner;id;species
Sobhan;1;Iris-setosa
Andrej;2;Iris-setosa
Ahmad;3;Iris-setosa
Matteo;4;Iris-setosa
Sobhan;5;Iris-setosa
Andrej;6;Iris-setosa
Ahmad;7;Iris-setosa
Matteo;8;Iris-setosa
Sobhan;9;Iris-setosa
Andrej;10;Iris-setosa
Ahmad;11;Iris-setosa
Matteo;12;Iris-setosa
Sobhan;13;Iris-setosa
Andrej;14;Iris-setosa
Matteo;16;Iris-setosa
Sobhan;17;Iris-setosa
Andrej;18;Iris-setosa
Ahmad;19;Iris-setosa
Matteo;20;Iris-setosa
Sobhan;21;Iris-setosa
Andrej;22;Iris-setosa
Ahmad;23;Iris-setosa
Matteo;24;Iris-setosa
Sobhan;25;Iris-setosa
Andrej;26;Iris-setosa
Ahmad;27;Iris-setosa
Sobhan;29;Iris-setosa
Andrej;30;Iris-setosa
Ahmad;31;Iris-setosa
Matteo;32;Iris-setosa
Sobhan;33;Iris-setosa
Andrej;34;Iris-setosa
Ahmad;35;Iris-setosa
Matteo;36;Iris-setosa
Sobhan;37;Iris-setosa
Andrej;38;Iris-setosa
Matteo;40;Iris-setosa
Sobhan;41;Iris-setosa
Andrej;42;Iris-setosa
Ahmad;43;Iris-setosa
Sobhan;45;Iris-setosa
Andrej;46;Iris-setosa
Ahmad;47;Iris-setosa
Matteo;48;Iris-setosa
Sobhan;49;Iris-setosa
Andrej;50;Iris-setosa
Andrej;62;Iris-versicolor
Ahmad;71;Iris-versicolor
Ahmad;75;Iris-versicolor
Sobhan;77;Iris-versicolor
Sobhan;93;Iris-versicolor
Andrej;98;Iris-versicolor
Sobhan;101;Iris-virginica
Andrej;102;Iris-virginica
Ahmad;103;Iris-virginica
Matteo;104;Iris-virginica
Sobhan;105;Iris-virginica
Andrej;106;Iris-virginica
Ahmad;107;Iris-virginica
Matteo;108;Iris-virginica
Sobhan;109;Iris-virginica
Andrej;110;Iris-virginica
Ahmad;111;Iris-virginica
Matteo;112;Iris-virginica
Sobhan;113;Iris-virginica
Andrej;114;Iris-virginica
Ahmad;115;Iris-virginica
Matteo;116;Iris-virginica
Sobhan;117;Iris-virginica
Ahmad;119;Iris-virginica
Matteo;120;Iris-virginica
Sobhan;121;Iris-virginica
Andrej;122;Iris-virginica
Ahmad;123;Iris-virginica
