"pl";"pw";"sl";"sw";"id"
6.7;3.0;4.6;1.5;87.0
6.7;2.8;4.6;1.2;209.0
5.0;3.6;1.6;0.5;344.0
6.3;3.1;5.9;2.5;401.0
7.0;2.9;5.7;1.7;430.0
4.8;3.1;1.3;0.1;460.0
5.9;3.4;4.6;1.7;536.0
7.0;3.1;4.6;1.5;651.0
5.6;2.5;3.8;1.0;670.0
5.7;2.6;3.9;1.4;683.0
6.8;3.1;4.7;1.4;687.0
5.0;3.0;1.5;0.1;785.0
6.7;3.1;4.3;1.4;816.0
7.0;3.2;4.6;1.4;951.0
5.4;3.9;1.5;0.4;1356.0
4.9;3.6;1.5;0.2;1505.0
6.9;2.8;4.7;1.4;1577.0
5.5;3.0;4.0;1.3;1596.0
6.7;2.5;5.9;2.0;1609.0
4.7;3.4;1.7;0.2;1675.0
4.9;3.3;1.5;0.2;1700.0
6.8;3.0;5.3;2.1;1790.0
5.0;3.5;1.3;0.3;1805.0
5.6;3.8;1.6;0.3;1969.0
5.9;3.0;4.8;2.0;2021.0
6.6;2.7;4.8;1.4;2027.0
5.0;3.6;1.3;0.5;2122.0
4.9;2.9;1.5;0.3;2126.0
5.7;2.8;4.5;1.2;2156.0
6.1;2.7;4.0;1.4;2172.0
4.7;2.9;1.5;0.2;2263.0
4.9;3.4;1.5;0.6;2277.0
6.2;2.5;5.0;1.9;2397.0
6.6;3.1;4.4;1.4;2466.0
6.4;2.9;5.5;1.8;2504.0
6.9;3.1;5.4;2.2;2540.0
5.5;4.2;1.4;0.3;2566.0
5.0;2.0;3.4;0.9;2611.0
6.7;3.1;4.5;1.4;2616.0
5.5;2.3;3.7;1.0;2632.0
6.3;3.1;5.3;2.3;2666.0
5.1;3.3;1.3;0.3;2729.0
4.5;2.2;1.3;0.3;2742.0
7.2;2.8;16.3;2.0;2808.0
5.6;2.8;4.9;2.0;2822.0
5.1;3.7;1.8;0.5;2895.0
5.0;1.9;3.6;1.1;2911.0
4.3;3.0;1.3;0.3;3039.0
5.0;3.7;1.7;0.4;3047.0
6.0;2.9;4.8;1.8;3127.0
6.3;2.7;5.7;2.3;3133.0
4.5;2.9;1.4;0.4;3154.0
7.7;2.8;6.8;2.0;3273.0
7.0;3.0;6.0;1.8;3276.0
5.0;2.8;1.6;0.4;3326.0
6.9;3.1;4.7;1.6;3351.0
6.1;2.1;4.5;1.6;3369.0
5.6;3.0;4.0;1.5;3539.0
6.5;2.9;5.4;2.0;3567.0
6.7;3.1;5.2;2.4;3596.0
5.4;3.8;1.1;0.4;3617.0
5.0;3.7;1.5;0.5;3622.0
6.8;3.1;5.0;1.4;3653.0
5.5;2.6;4.4;1.3;3691.0
6.9;3.1;5.1;2.4;3742.0
4.5;3.4;1.4;0.4;3757.0
6.7;2.8;4.5;1.3;3809.0
5.8;2.9;4.2;1.6;3812.0
5.6;2.4;3.7;1.3;3831.0
5.3;3.8;1.5;0.2;3949.0
6.8;3.0;4.9;1.5;3953.0
4.8;2.2;3.3;1.0;3958.0
5.9;3.3;4.7;1.8;3971.0
4.9;2.4;3.4;1.1;3994.0
6.1;2.6;4.8;1.8;4027.0
6.2;3.4;5.6;2.5;4037.0
4.9;3.1;1.4;0.2;4060.0
5.5;2.4;4.0;1.5;4440.0
6.2;2.8;5.6;1.9;4454.0
7.4;2.8;6.2;1.9;4481.0
4.9;3.4;1.5;0.6;4544.0
5.0;3.8;1.5;0.1;4547.0
5.2;3.6;1.5;0.2;4549.0
4.4;2.3;1.1;0.4;4692.0
6.7;3.0;4.3;1.5;4716.0
6.4;3.2;5.3;2.4;4766.0
5.9;4.0;1.3;0.3;4815.0
4.5;3.1;1.3;0.2;4848.0
5.0;3.2;1.4;0.2;4850.0
5.6;2.5;3.8;1.2;4870.0
5.8;3.1;4.9;1.9;4871.0
6.4;3.2;5.3;2.4;4916.0
4.2;3.0;1.1;0.1;5114.0
5.5;2.8;3.6;1.4;5165.0
5.8;3.4;4.4;1.6;5186.0
5.7;2.8;4.0;1.4;5200.0
6.5;2.9;5.8;2.3;5205.0
7.0;3.1;5.4;2.1;5240.0
6.1;3.3;5.3;2.2;5249.0
4.8;3.3;1.9;0.2;5275.0
5.1;4.0;1.5;0.3;5283.0
4.9;3.2;1.3;0.3;5286.0
5.7;2.9;4.1;1.4;5350.0
5.5;3.7;1.7;0.5;5406.0
6.8;2.8;5.4;2.2;5513.0
7.6;2.9;6.0;2.3;5536.0
5.4;3.3;1.5;0.4;5582.0
5.3;2.7;3.8;1.4;5610.0
4.6;3.0;1.6;0.3;5704.0
6.5;2.9;4.5;1.6;5755.0
5.7;2.8;4.4;1.3;5756.0
6.2;3.3;4.6;1.7;5757.0
4.7;3.1;1.3;0.3;5853.0
6.4;3.0;4.3;1.3;5925.0
6.5;2.8;5.6;2.1;5983.0
6.0;2.4;5.5;1.5;5985.0
5.2;3.6;1.5;0.3;6020.0
6.1;2.5;5.0;2.0;6147.0
5.1;3.4;1.4;0.2;6158.0
50;3.7;1.6;0.5;6172.0
5.7;3.2;4.6;2.0;6221.0
6.1;2.8;5.1;1.8;6234.0
4.4;3.2;1.3;0.2;6343.0
6.4;2.9;4.3;1.5;6376.0
6.0;2.0;5.0;1.5;6420.0
5.5;4.0;1.2;0.4;6467.0
5.1;3.5;1.2;0.2;6491.0
5.5;2.3;3.7;1.2;6531.0
5.8;3.2;4.8;1.8;6821.0
5.4;3.0;4.4;1.4;7117.0
5.6;2.7;5.0;2.0;7172.0
5.0;2.9;1.4;0.2;7202.0
6.0;2.0;5.1;1.6;7320.0
4.3;2.9;1.0;0.2;7364.0
6.8;2.9;4.9;1.6;7403.0
5.9;3.0;4.2;1.6;7412.0
5.9;2.1;4.1;1.0;7413.0
6.1;2.0;4.5;1.6;7419.0
5.4;2.5;3.9;1.3;7590.0
5.1;3.5;1.3;0.2;7801.0
5.8;2.7;4.1;1.0;7868.0
6.2;2.5;4.9;1.9;7947.0
5.0;3.4;1.3;0.1;7955.0
5.6;2.8;4.4;1.3;8006.0
4.9;3.1;1.4;0.2;8135.0
6.0;2.5;5.4;1.5;8235.0
4.6;3.1;1.4;0.3;8298.0
5.6;2.5;4.1;1.2;8318.0
5.6;2.4;3.9;1.1;8320.0
6.8;3.2;4.7;1.7;8337.0
7.2;2.8;6.2;1.8;8358.0
5.6;2.8;5.1;1.9;8393.0
6.5;2.9;5.3;2.1;8398.0
6.1;2.7;3.8;1.3;8472.0
5.7;2.5;5.0;2.0;8543.0
4.8;3.0;1.5;0.3;8588.0
5.0;3.5;1.2;0.4;8591.0
6.3;2.8;5.5;1.9;8654.0
4.8;3.1;1.5;0.1;8735.0
5.5;2.7;4.2;1.4;8795.0
7.1;3.5;6.1;2.6;8810.0
7.6;2.5;6.9;2.4;8819.0
5.7;3.0;5.1;1.8;8850.0
5.6;2.9;3.4;1.3;8915.0
5.6;2.5;5.0;2.0;8964.0
5.8;2.7;4.9;1.8;8993.0
4.8;3.2;1.8;0.2;9025.0
4.5;3.1;1.4;0.3;9154.0
5.4;4.1;1.2;0.4;9184.0
4.9;2.1;3.4;1.0;9211.0
6.5;3.0;5.8;2.2;9255.0
5.7;2.5;4.9;2.0;9264.0
5.5;2.5;3.4;1.0;9380.0
5.9;2.6;3.9;1.1;9383.0
4.8;3.1;1.5;0.1;9485.0
7.0;2.8;5.9;2.2;9553.0
6.6;2.9;4.5;1.3;9659.0
6.2;2.6;5.2;1.6;9734.0
6.6;2.9;5.2;2.4;9746.0
5.4;3.8;1.6;0.5;9756.0
5.0;3.7;1.5;0.4;9770.0
4.9;3.2;1.3;0.3;9800.0
6.1;2.3;4.5;1.3;9838.0
7.4;2.6;6.1;1.9;9881.0
4.5;3.6;0.9;0.4;9923.0
5.1;3.6;1.6;0.2;9947.0
5.7;2.4;4.0;1.3;9993.0
7.4;2.8;6.0;1.9;10031.0
5.1;3.4;1.5;0.2;10079.0
5.8;2.7;5.2;1.9;10152.0
6.5;3.3;4.9;2.0;10161.0
7.8;3.7;6.4;2.0;10182.0
4.8;3.3;1.7;0.4;10227.0
5.2;3.4;1.4;0.2;10229.0
6.2;2.9;5.5;1.9;10304.0
5.0;3.6;1.5;0.7;10394.0
7.1;3.6;6.2;2.6;10460.0
4.7;3.1;1.4;0.1;10681.0
6.5;3.0;5.8;2.2;10755.0
4.3;3.0;1.1;0.2;10964.0
5.6;2.7;5.0;1.9;11052.0
7.2;3.0;6.4;1.8;11058.0
6.1;3.2;5.5;2.5;11087.0
6.8;2.9;5.5;2.5;11091.0
6.7;3.1;5.2;2.5;11096.0
5.4;3.3;1.7;0.2;11121.0
5.1;3.2;1.5;0.5;11124.0
4.7;3.2;1.5;0.2;11130.0
5.6;2.5;3.9;1.3;11170.0
5.9;2.2;4.9;1.4;11220.0
6.3;2.6;5.0;1.4;11234.0
6.7;3.2;5.7;2.6;11245.0
4.8;3.4;1.6;0.3;11262.0
5.4;3.0;4.5;1.5;11335.0
6.5;3.0;5.0;2.0;11361.0
6.2;2.7;5.0;1.5;11384.0
5.0;3.6;1.9;0.5;11445.0
5.6;2.4;4.9;2.1;11514.0
7.6;2.8;6.8;2.0;11523.0
